generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve
1,30,0.22898554801940918,2.1503992080688477,3.414327621459961,3.414327621459961,2.857330560684204,1.851294994354248,1.851294994354248,2.914358377456665,2.914358377456665,2.3724873065948486,0.795200765132904,0.9999387264251709,5.37732458114624,5.214848518371582,3,0.1,0
2,60,11.461308479309082,2.846648693084717,3.431861162185669,3.431861162185669,3.2586917877197266,2.4149343967437744,2.4149343967437744,2.9318926334381104,2.9318926334381104,2.758772611618042,0.9247373342514038,0.9999369382858276,5.810734272003174,5.2386250495910645,10,0.3333333333333333,0
3,90,20.438116550445557,3.1872568130493164,3.6041743755340576,3.6041743755340576,3.400381565093994,2.6885898113250732,2.6885898113250732,3.104186534881592,3.104186534881592,2.9003968238830566,0.9973340630531311,0.9999755620956421,5.773918628692627,5.117335319519043,22,0.7333333333333333,0
4,120,29.585457801818848,3.3546950817108154,3.706069231033325,3.706069231033325,3.5540459156036377,2.854823350906372,2.854823350906372,3.206082344055176,3.206082344055176,3.0540640354156494,0.9997428059577942,0.9999736547470093,5.7524871826171875,5.151852607727051,29,0.9666666666666667,0
5,150,39.19036030769348,3.522850275039673,3.724062919616699,3.724062919616699,3.657515048980713,3.02286958694458,3.02286958694458,3.2240748405456543,3.2240748405456543,3.1575284004211426,0.999961256980896,0.9999759197235107,5.291344165802002,5.177172660827637,30,1.0,0
6,180,49.11338520050049,3.6198508739471436,3.7850875854492188,3.7850875854492188,3.724705219268799,3.1198647022247314,3.1198647022247314,3.2851004600524902,3.2851004600524902,3.2247180938720703,0.9999725222587585,0.9999743700027466,5.164797782897949,5.326237678527832,30,1.0,0
7,210,58.68942666053772,3.6952264308929443,3.81089448928833,3.81089448928833,3.76887583732605,3.1952383518218994,3.1952383518218994,3.310906410217285,3.310906410217285,3.268887996673584,0.9999754428863525,0.9999761581420898,5.175539016723633,5.262295722961426,30,1.0,0
8,240,68.09813284873962,3.744464159011841,3.824032783508301,3.824032783508301,3.7998554706573486,3.2444779872894287,3.2444779872894287,3.324047327041626,3.324047327041626,3.29986834526062,0.9999727606773376,0.9999710321426392,5.2292985916137695,5.182342529296875,30,1.0,0
9,270,77.5674695968628,3.7818186283111572,3.8652045726776123,3.8652045726776123,3.825202465057373,3.281831979751587,3.281831979751587,3.365217447280884,3.365217447280884,3.3252151012420654,0.999972939491272,0.9999743700027466,5.271727561950684,5.357085227966309,30,1.0,0
10,300,87.50070238113403,3.814533233642578,3.8652045726776123,3.8652045726776123,3.855665683746338,3.3145458698272705,3.3145458698272705,3.365217447280884,3.365217447280884,3.355678081512451,0.999973714351654,0.9999743700027466,5.255785942077637,5.357085227966309,30,1.0,1
11,330,97.23718047142029,3.848414659500122,3.9489870071411133,3.9489870071411133,3.8963165283203125,3.3484268188476562,3.3484268188476562,3.4490039348602295,3.4490039348602295,3.396329402923584,0.9999744892120361,0.9999659061431885,5.305871963500977,5.207850456237793,30,1.0,0
12,360,101.008553981781,3.882153034210205,3.996957778930664,3.996957778930664,3.9374606609344482,3.3821661472320557,3.3821661472320557,3.496971607208252,3.496971607208252,3.437474012374878,0.9999739527702332,0.9999721050262451,5.347109317779541,5.412394046783447,30,1.0,0
